"Name","Platform","Genre","Publisher","Developer","Rating","Global_Sales","Year_of_Release","Critic_Score","Critic_Count","User_Score","User_Count"
"FaceBreaker","PS3","Fighting","Electronic Arts","EA Canada","T","0.17","2008","53","37","3.8","20"
"Sonic Chronicles: The Dark Brotherhoo","DS","Role-Playing","Sega","BioWare","E","0.88","2008","74","55","7.3","81"
"Monsters, Inc.","PS2","Adventure","Sony Computer Entertainment","Artificial Mind and","E","0.32","2002","52","15","7.2","10"
"The Godfather: Mob Wars","PSP","Action","Electronic Arts","Page 44 Studios","M","0.1","2006","59","34","7.9","16"
"NCAA Football 11","PS3","Sports","Electronic Arts","EA Tiburon","E","0.85","2010","85","22","7.4","25"
"Tony Hawk's Pro Skater 3","GC","Sports","Activision","Neversoft Entertainm","T","0.82","2001","91","27","9","27"
"The Shoot","PS3","Shooter","Sony Computer Entertainment","Cohort Studios","T","0.34","2010","60","39","6.2","11"
"WWE SmackDown vs. RAW 2007","PS2","Fighting","THQ","Yuke's","T","2.58","2006","80","27","8.6","57"
"MTV Music Generator 3: This Is the Re","PS2","Misc","Codemasters","Mix Max","T","0.14","2004","79","28","8.6","8"
"Grand Theft Auto: Vice City Stories","PSP","Action","Take-Two Interactive","Rockstar Leeds","M","5.03","2006","86","50","8","150"
"The Sims 2: Pets","PC","Simulation","Electronic Arts","Maxis","T","0.04","2006","76","23","7.7","40"
"Turok","X360","Action","Touchstone","Propaganda Games","M","0.75","2008","69","63","7.1","120"
"Tiger Woods PGA Tour 07","X360","Sports","Electronic Arts","EA Redwood Shores","E","0.48","2006","80","44","7.9","21"
"Vampire Rain: Altered Species","PS3","Action","Ignition Entertainment","Artoon","M","0.06","2008","30","15","3.5","36"
"NCAA Football 12","X360","Sports","Electronic Arts","EA Sports","E","0.99","2011","82","25","6.6","49"
"James Bond 007: Nightfire","GBA","Shooter","Electronic Arts","JV Games Inc.","T","0.13","2003","66","6","8.1","9"
"LifeSigns: Surgical Unit","DS","Simulation","JoWood Productions","Spike","T","0.01","2005","61","17","7.8","5"
"Hitman: Blood Money","PC","Action","Eidos Interactive","Io Interactive","M","0.03","2006","82","35","8.8","528"
"2002 FIFA World Cup","GC","Sports","Electronic Arts","EA Sports","E","0.05","2002","78","9","7.7","6"
"F1 2001","XB","Racing","Electronic Arts","EA Sports","E","0.06","2001","83","11","5.5","8"
"NCAA College Basketball 2K3","XB","Sports","Sega","Kush Games","E","0.14","2002","84","12","8.4","5"
"College Hoops 2K7","PS3","Sports","Take-Two Interactive","2K Sports","E","0.18","2007","81","9","7.1","8"
"Sonic Generations","PS3","Platform","Sega","Sega","E","1.58","2011","76","38","8.2","253"
"Harry Potter and the Deathly Hallows","Wii","Action","Electronic Arts","EA Bright Light","T","0.33","2011","47","6","6.6","5"
"Damage Inc.: Pacific Squadron WWII","X360","Simulation","Mad Catz","Mad Catz","T","0.07","2012","49","24","5.5","6"
"Tales of the Abyss","PS2","Role-Playing","Namco Bandai Games","Namco","T","0.57","2005","78","22","8.4","109"
"World Soccer Winning Eleven 8 Interna","XB","Sports","Konami Digital Entertainmen","KCET","E","0.09","2004","90","25","8.4","11"
"Tao Feng: Fist of the Lotus","XB","Fighting","Microsoft Game Studios","Studio Gigante","M","0.27","2003","65","32","6.5","8"
"NBA 2K6","XB","Action","Take-Two Interactive","Visual Concepts","E","0.36","2005","84","27","8.7","15"
"Devil May Cry 2","PS2","Action","Capcom","Capcom","M","1.97","2003","68","40","6.6","167"
"Game Party","Wii","Misc","Midway Games","Midway","E","2.48","2007","25","8","4.3","26"
"SPRay","Wii","Action","Tecmo Koei","EKO Software","E10+","0.04","2008","42","16","4.5","6"
"The Elder Scrolls IV: Oblivion","PC","Role-Playing","Take-Two Interactive","Bethesda Softworks","M","0.25","2006","94","54","8.1","2454"
"FIFA Soccer 08","PSP","Sports","Electronic Arts","EA Canada","E","1.35","2007","79","7","7.4","15"
"Devil May Cry 4","X360","Action","Capcom","Capcom","M","1.34","2008","84","61","8","248"
"Medal of Honor: Rising Sun","XB","Shooter","Electronic Arts","EA LA","T","1.17","2003","65","23","5.8","28"
"Leisure Suit Larry: Magna Cum Laude","PS2","Adventure","Vivendi Games","High Voltage Softwar","M","0.34","2004","60","44","6.3","18"
"WipEout HD Fury","PS3","Racing","Sony Computer Entertainment","Studio Liverpool","E10+","0.07","2009","89","15","8.4","115"
"Crash of the Titans","PS2","Action","Vivendi Games","Radical Entertainmen","E10+","0.41","2007","70","12","5.9","48"
"Metal Gear Solid: Digital Graphic Nov","PSP","Misc","Konami Digital Entertainmen","Kojima Productions","M","0.04","2006","78","22","7.2","21"
"Medal of Honor: Airborne","PC","Shooter","Electronic Arts","Electronic Arts","T","0.05","2007","78","38","7.3","204"
"SoulCalibur Legends","Wii","Action","Namco Bandai Games","Namco Bandai Games","T","0.18","2007","52","35","5.7","24"
"Looney Tunes: Acme Arsenal","X360","Action","Warner Bros. Interactive En","Red Tribe","E10+","0.08","2007","40","15","6.8","13"
"Bubble Bobble Double Shot","DS","Puzzle","Rising Star Games","Marvelous Entertainm","E","0.04","2007","50","12","4.8","4"
"Armored Core V","PS3","Simulation","Namco Bandai Games","From Software","T","0.39","2012","65","26","7.3","47"
"Deep Labyrinth","DS","Action","505 Games","Interactive Brains","E10+","0.07","2006","57","18","8.8","4"
"Your Shape featuring Jenny McCarthy","Wii","Sports","Ubisoft","Ubisoft","E","2.12","2009","62","5","5.2","54"
"Cubivore: Survival of the Fittest","GC","Adventure","Nintendo","Nintendo","E","0.17","2002","71","12","8.5","21"
"SBK Superbike World Championship","PS3","Racing","Black Bean Games","Milestone S.r.l","E10+","0.25","2008","59","7","6.1","8"
"Spider-Man: Web of Shadows","PS3","Action","Activision","Treyarch, Shaba Game","T","0.26","2008","67","44","7.9","34"
"NFL Head Coach 09","X360","Sports","Electronic Arts","EA Tiburon","E","0.11","2008","67","14","8.4","28"
"Way of the Samurai","PS2","Action","Eidos Interactive","Acquire","M","0.51","2002","74","22","8.2","19"
"Saints Row 2","X360","Action","THQ","Volition Inc.","M","3.03","2008","81","75","8.1","307"
"Monster Hunter Tri","Wii","Role-Playing","Nintendo","Capcom","T","2.22","2009","84","70","8.6","219"
"Major League Baseball 2K8 Fantasy All","DS","Sports","Take-Two Interactive","Deep Fried Entertain","E","0.12","2008","59","8","7","6"
"Madden NFL 10","X360","Sports","Electronic Arts","EA Tiburon","E","2.83","2009","85","58","6.1","90"
"Buffy the Vampire Slayer: Chaos Bleed","PS2","Action","Vivendi Games","Eurocom Entertainmen","T","0.18","2003","72","27","8.9","47"
"LEGO Star Wars II: The Original Trilo","DS","Action","LucasArts","Amaze Entertainment","E","1.07","2006","47","9","5","38"
"NHL 11","X360","Sports","Electronic Arts","Electronic Arts","E10+","0.73","2010","88","49","7.7","71"
"Deus Ex: Human Revolution","PC","Shooter","Square Enix","Nixxes Software","M","0.58","2011","90","52","8.5","3069"
"Pitfall: The Lost Expedition","GC","Platform","Activision","Edge of Reality","E","0.08","2004","73","25","8.6","8"
"Saints Row 2","PS3","Action","THQ","Volition Inc.","M","1.68","2008","82","50","7.9","135"
"Warhammer 40,000: Dawn of War II - Re","PC","Strategy","THQ","Relic","M","0.08","2011","80","52","7.8","235"
"Pro Evolution Soccer 2012","X360","Action","Konami Digital Entertainmen","Konami","E","0.5","2011","78","36","6.6","55"
"SpongeBob SquarePants: Creature from","DS","Platform","THQ","WayForward","E","0.49","2006","56","7","7.3","4"
"Fugitive Hunter: War on Terror","PS2","Shooter","Play It","Black Ops Entertainm","M","0.15","2003","35","15","5","23"
"Warriors Orochi 2","PS2","Action","Tecmo Koei","Omega Force","T","0.13","2008","52","9","8.5","13"
"Max Payne","PS2","Shooter","Take-Two Interactive","Rockstar Toronto","M","3.31","2001","80","21","8.5","86"
"IL-2 Sturmovik","PC","Simulation","Blue Byte","1C, 1C Company","T","0.01","2001","91","12","8.8","130"
"The Sims: Hot Date","PC","Simulation","Electronic Arts","Maxis","T","1.82","2001","85","17","7.9","70"
"SingStar Abba","PS3","Misc","Sony Computer Entertainment","SCEE London Studio","T","0.93","2008","70","26","5.5","4"
"Spyro: Enter the Dragonfly","PS2","Platform","Universal Interactive","Check Six Games","E","1.97","2002","56","20","4.1","95"
"Def Jam Fight For NY: The Takeover","PSP","Action","Electronic Arts","Aki Corp.","M","0.09","2006","79","25","8.2","16"
"Castlevania: Portrait of Ruin","DS","Platform","Konami Digital Entertainmen","Konami","T","0.4","2006","85","51","8.3","87"
"Real Time Conflict: Shogun Empires","DS","Strategy","Namco Bandai Games","Box Clever Interacti","E10+","0.07","2005","35","6","5.6","11"
"Counter-Strike","XB","Shooter","Microsoft Game Studios","Valve Software","M","1.11","2003","74","38","7.6","51"
"Final Fantasy Crystal Chronicles: Ech","Wii","Role-Playing","Square Enix","Square Enix","E10+","0.25","2009","64","29","5.6","11"
"The Sims 2: Pets","PS2","Simulation","Electronic Arts","Maxis","T","0.3","2006","68","27","8","25"
"BattleForge","PC","Strategy","Electronic Arts","EA Phenomic","T","0.01","2009","75","37","7","112"
"Britney's Dance Beat","PS2","Misc","THQ","Metro Graphics","E","0.24","2002","63","20","4.8","20"
"Major League Baseball 2K10","PS3","Sports","Take-Two Interactive","Visual Concepts","E","0.19","2010","74","19","5.3","4"
"Ace Combat Zero: The Belkan War","PS2","Simulation","Namco Bandai Games","Namco","T","0.51","2006","75","45","8.4","55"
"Monster Racers","DS","Racing","Tecmo Koei","Koei","E","0.07","2009","70","5","9","5"
"Major League Baseball 2K6","PS2","Sports","Spike","Kush Games","E","0.44","2006","70","19","5.2","27"
"Call of Duty: Finest Hour","PS2","Shooter","Activision","Spark Unlimited","T","2.89","2004","76","49","7.7","69"
"RedCard 20-03","XB","Sports","Midway Games","Point of View","E","0.03","2002","67","8","9","4"
"American Chopper","PS2","Racing","Zoo Digital Publishing","Creat Studios","T","0.42","2004","47","4","7.5","13"
"Tamagotchi Connection: Corner Shop","DS","Simulation","Atari","NanaOn-Sha","E","1.26","2005","59","20","7.7","6"
"Harry Potter and the Prisoner of Azka","GC","Action","Electronic Arts","EA Games","E","0.38","2004","67","22","7.3","8"
"Spider-Man: Edge of Time","X360","Action","Activision","Beenox","T","0.25","2011","57","50","6.8","33"
"John Daly's ProStroke Golf","PS3","Sports","O-Games","Gusto Games","E","0.11","2010","58","23","4.1","8"
"Tony Hawk: Shred","PS3","Sports","Activision","Robomodo","E","0.28","2010","56","5","6.7","6"
"Mega Man X: Command Mission","GC","Role-Playing","Capcom","Capcom","E","0.12","2004","67","21","7.3","12"
"SimCity Societies","PC","Simulation","Electronic Arts","Tilted Mill","E10+","0.02","2007","63","27","4.3","95"
"NBA Live 09","X360","Sports","Electronic Arts","EA Canada","E","0.71","2008","77","32","7.4","14"
"Mobile Suit Gundam: Crossfire","PS3","Simulation","Namco Bandai Games","Bec","T","0.2","2006","33","31","5.1","47"
"Sniper: Ghost Warrior","X360","Shooter","City Interactive","City Interactive","M","1.16","2010","45","39","5.8","89"
"Naruto: Rise of a Ninja","X360","Action","Ubisoft","Ubisoft Montreal","T","0.33","2007","78","35","8.6","84"
"The SpongeBob SquarePants Movie","PS2","Platform","THQ","Heavy Iron Studios","E","1.76","2004","75","5","9","54"
"300: March to Glory","PSP","Action","Warner Bros. Interactive En","Collision Studios","M","0.41","2007","55","31","7.1","14"
"Ape Escape 3","PS2","Platform","Sony Computer Entertainment","SCE Japan Studio","E10+","0.13","2005","77","51","8.5","22"
"World of Warcraft","PC","Role-Playing","Activision","Blizzard Entertainme","T","6.29","2004","93","57","7.3","2182"
"City Crisis","PS2","Simulation","Take-Two Interactive","Syscom","E","0.13","2001","63","20","6.2","5"
"Thor: God of Thunder","Wii","Action","Sega","Red Fly Studio","T","0.15","2011","56","14","8","9"
"NHL Hitz 20-02","XB","Sports","Midway Games","Black Box","E","0.27","2001","79","20","8.7","11"
"Tropico 4: Modern Times","PC","Strategy","Kalypso Media","Haemimont","T","0.02","2012","78","11","8","58"
"Madden NFL 09","X360","Sports","Electronic Arts","EA Tiburon","E","2.53","2008","83","50","7","125"
"Tom Clancy's Ghost Recon: Advanced Wa","PS2","Shooter","Ubisoft","Ubisoft Shanghai","T","0.06","2006","44","8","4.6","41"
"The Sims 2: Pets","Wii","Simulation","Electronic Arts","Maxis","T","0.47","2007","65","15","7.3","4"
"Silent Scope Complete","XB","Shooter","Konami Digital Entertainmen","Konami","M","0.1","2004","69","25","7.4","5"
"Pirates of the Caribbean","XB","Role-Playing","Ubisoft","Akella","T","0.29","2003","65","30","7.4","27"
"Star Ocean: The Last Hope","X360","Role-Playing","Square Enix","Square Enix, Tri-Ace","T","0.79","2009","72","56","7.2","150"
"Frogger's Adventures: The Rescue","PS2","Platform","Konami Digital Entertainmen","Konami","E","0.32","2003","59","12","8.5","6"
"Kinectimals","X360","Simulation","Microsoft Game Studios","Frontier Development","E","1.62","2010","74","50","3.1","69"
"Need for Speed: ProStreet","Wii","Racing","Electronic Arts","EA Games","E10+","1.1","2007","61","16","6.9","14"
"F1 Race Stars","PC","Racing","Codemasters","Codemasters","E","0.02","2012","62","8","5.4","46"
"The Sims 3: World Adventures","PC","Simulation","Electronic Arts","The Sims Studio","T","0.57","2009","81","31","8","72"
"Tim Burton's The Nightmare Before Chr","GBA","Platform","Disney Interactive Studios","TOSE","E10+","0.14","2005","71","5","5.5","6"
"NCAA Football 13","X360","Action","Electronic Arts","EA Tiburon","E","1.09","2012","76","20","5.5","65"
"RPG Maker 3","PS2","Role-Playing","Enterbrain","Runtime","E10+","0.06","2004","69","16","7.9","14"
"Midnight Club: LA Remix","PSP","Racing","Take-Two Interactive","Rockstar London","T","0.98","2008","79","26","8.7","43"
"Def Jam Vendetta","GC","Fighting","Electronic Arts","Aki Corp.","T","0.25","2003","81","22","8.5","8"
"Manhunt 2","PSP","Action","Take-Two Interactive","Rockstar London","M","0.31","2007","69","15","8.1","38"
"NFL 2K3","GC","Sports","Sega","Visual Concepts","E","0.22","2002","92","24","8.3","15"
"Exit","PSP","Puzzle","Ubisoft","Taito Corporation","E","0.08","2005","77","36","7.7","13"
"Space Channel 5 Special Edition","PS2","Misc","Agetec","UGA","T","0.08","2003","79","16","8.6","10"
"Namco Museum","PS2","Misc","Namco Bandai Games","Mass Media","E","1.82","2001","72","9","6","5"
"Fish Tycoon","DS","Simulation","Majesco Entertainment","LDW, Big Fish Games","E","0.26","2007","46","9","7","6"
"Teenage Mutant Ninja Turtles: Smash-U","Wii","Fighting","Ubisoft","Game Arts","E10+","0.35","2009","67","34","8.2","21"
"Steel Battalion","XB","Simulation","Microsoft Game Studios","Capcom","T","0.1","2002","83","20","8.5","20"
"Disney Universe","X360","Action","Disney Interactive Studios","Eurocom Entertainmen","E10+","0.57","2011","66","31","5.3","13"
"Bodycount","X360","Shooter","Codemasters","Guildford Studio","M","0.11","2011","53","61","4.7","73"
"Pokemon Ranger","DS","Role-Playing","Nintendo","HAL Labs","E","2.15","2006","69","21","7.6","50"
"Mercury Meltdown Revolution","Wii","Action","Ignition Entertainment","Ignition Entertainme","E","0.17","2007","77","41","7.4","16"
"Warriors of Might and Magic","PS2","Adventure","3DO","3DO","T","0.17","2001","49","12","4.5","6"
"Monopoly Streets","Wii","Misc","Electronic Arts","Electronic Arts","E","0.72","2010","65","9","5.2","5"
"Swingerz Golf","GC","Sports","Eidos Interactive","Telenet","E","0.08","2002","72","11","9.3","4"
"Shadow of the Colossus","PS2","Action","Sony Computer Entertainment","SCE Japan Studio","T","1.14","2005","91","77","9.1","933"
"Mario Party 6","GC","Misc","Nintendo","Hudson Soft","E","1.65","2004","71","33","7.9","51"
"007: Quantum of Solace","PC","Action","Activision","Treyarch","T","0.03","2008","70","18","6.3","55"
"XGRA: Extreme G Racing Association","XB","Racing","Acclaim Entertainment","Acclaim Studios Chel","T","0.02","2003","66","15","6.8","5"
"Rayman DS","DS","Platform","Ubisoft","DC Studios","E","0.26","2005","58","20","7.6","19"
"Backyard Baseball '09","Wii","Sports","Atari","Humongous Entertainm","E","0.04","2008","37","4","7.8","5"
"Bayonetta","PS3","Action","Sega","Nex Entertainment","M","1.21","2009","87","54","7.7","355"
"Agatha Christie: And Then There Were","Wii","Adventure","The Adventure Company","AWE Games","T","0.07","2008","50","23","6.2","12"
"Hot Wheels: Stunt Track Challenge","XB","Racing","THQ","Climax Group","E","0.1","2004","63","11","6.2","5"
"Catherine","X360","Adventure","Deep Silver","Atlus","M","0.31","2011","82","39","7.9","153"
"Star Wars: The Force Unleashed","PS2","Action","LucasArts","Krome Studios","T","1.25","2008","68","7","7.4","33"
"Tom Clancy's EndWar","PSP","Strategy","Ubisoft","Funatics Software, F","T","0.11","2008","68","7","5.9","8"
"Contra 4","DS","Shooter","Konami Digital Entertainmen","WayForward","T","0.3","2007","83","38","8.4","45"
"PaRappa The Rapper","PSP","Misc","Sony Computer Entertainment","Epics","E","0.14","2006","67","43","5.2","16"
"Naughty Bear","PS3","Action","505 Games","Artificial Mind and","T","0.43","2010","43","31","5.5","49"
"XCOM: Enemy Unknown","X360","Strategy","Take-Two Interactive","Firaxis Games","M","0.62","2012","90","35","8.3","366"
"The Whispered World","PC","Adventure","Deep Silver","Daedalic Entertainme","E","0.1","2009","70","41","7.6","77"
"Karaoke Revolution","XB","Misc","Konami Digital Entertainmen","Secret Level","E","0.09","2004","80","13","8.5","4"
"LittleBigPlanet 2","PS3","Platform","Sony Computer Entertainment","Media Molecule","E","3.39","2011","91","86","8.4","657"
"Aeon Flux","PS2","Action","THQ","Terminal Reality","T","0.04","2005","66","19","5.8","9"
"Excite Truck","Wii","Racing","Nintendo","Monster Games Inc.","E","0.53","2006","72","57","8.4","83"
"Cosmic Family","Wii","Misc","Ubisoft","Ubisoft Barcelona","E","0.08","2007","54","6","5.7","6"
"Test Drive","PS2","Racing","Atari","Pitbull Syndicate","T","1.34","2002","73","19","7.4","23"
"Batman Begins","XB","Action","Electronic Arts","Eurocom Entertainmen","T","0.21","2005","65","56","7.1","21"
"Shrek: Forever After","PS3","Platform","Activision","Xpec","E10+","0.19","2010","57","11","4.5","6"
"Battalion Wars","GC","Strategy","Nintendo","Kuju Entertainment","T","0.4","2005","76","43","8.8","18"
"Hot Wheels Velocity X","PS2","Racing","THQ","Beyond Games","E","0.47","2002","54","7","7.1","16"
"NCAA March Madness 07","X360","Sports","Electronic Arts","EA Canada","E","0.21","2007","67","33","7.1","15"
"Conflict: Denied Ops","PS3","Shooter","Eidos Interactive","Pivotal Games","M","0.19","2008","51","28","3.1","25"
"LEGO Star Wars II: The Original Trilo","PSP","Action","LucasArts","Traveller's Tales","E10+","1.4","2006","83","11","8.6","26"
"Armored Core: Last Raven","PS2","Simulation","505 Games","From Software","T","0.18","2005","59","16","8.9","14"
"The Urbz: Sims in the City","GBA","Simulation","Electronic Arts","Griptonite Games","E","0.62","2004","72","6","9.2","25"
"Tom Clancy's Ghost Recon","GC","Shooter","Ubisoft","Red Storm Entertainm","M","0.15","2003","59","15","5.4","17"
"Harry Potter and the Goblet of Fire","PSP","Action","Electronic Arts","Electronic Arts","E10+","0.19","2005","70","13","7.4","16"
"High Heat Major League Baseball 2003","PS2","Sports","3DO","3DO","E","0.37","2002","84","23","7.9","7"
"Way of the Samurai 4","PS3","Action","Nippon Ichi Software","Acquire","M","0.19","2011","58","25","6.5","15"
"NCAA Football 2005","XB","Sports","Electronic Arts","EA Sports","E","0.68","2004","89","29","8","12"
"Picross DS","DS","Puzzle","Nintendo","Jupiter Corporation","E","0.5","2007","83","33","8.7","36"
"Mario vs. Donkey Kong: Mini-Land Mayh","DS","Puzzle","Nintendo","Nintendo","E","2.67","2010","79","51","7.7","18"
"Beautiful Katamari","X360","Puzzle","Namco Bandai Games","Now Production","E","0.32","2007","73","52","7","40"
"Assassin's Creed","X360","Adventure","Ubisoft","Ubisoft Montreal","M","5.54","2007","81","77","7.7","1074"
"MySims","Wii","Simulation","Electronic Arts","EA Redwood Shores","E","1.65","2007","68","38","7.2","56"
"Spec Ops: The Line","PC","Shooter","Take-Two Interactive","Yager","M","0.23","2012","76","16","8.2","1237"
"FIFA Soccer 10","Wii","Sports","Electronic Arts","EA Sports","E","0.98","2009","75","21","6.2","17"
"Dead or Alive Ultimate","XB","Fighting","Tecmo Koei","Team Ninja","M","0.5","2004","83","64","8.7","25"
"The Sims: Makin' Magic","PC","Simulation","Electronic Arts","Maxis","T","1.92","2003","80","22","8.6","31"
"Frogger: Ancient Shadow","PS2","Platform","Konami Digital Entertainmen","Hudson Soft","E","0.1","2005","54","17","4","5"
"MLB 11: The Show","PS3","Sports","Sony Computer Entertainment","SCEA San Diego Studi","E","0.58","2011","90","30","7.8","87"
"007: Quantum of Solace","Wii","Action","Activision","Treyarch","T","0.65","2008","54","11","7.5","26"
"Spy Hunter: Nowhere To Run","PS2","Racing","Midway Games","Terminal Reality","T","0.02","2006","51","21","6","6"
"Surf's Up","DS","Sports","Ubisoft","Ubisoft Quebec","E","0.28","2007","56","5","7","4"
"TimeSplitters: Future Perfect","PS2","Shooter","Electronic Arts","Free Radical Design","M","0.24","2005","84","39","9.1","117"
"Mission: Impossible - Operation Surma","PS2","Platform","Atari","Paradigm Entertainme","T","0.28","2003","64","30","7.8","10"
"Sonic Advance","GBA","Platform","Sega","Sonic Team","E","2.24","2001","87","22","8.1","48"
"Namco Museum DS","DS","Misc","Atari","M2","E","1.29","2007","67","19","5.9","8"
"Custom Robo Arena","DS","Fighting","Nintendo","Noise Inc.","E10+","0.16","2006","74","22","8.3","27"
"Blades of Time","PS3","Action","Konami Digital Entertainmen","Gaijin Entertainment","M","0.1","2012","53","19","7.2","22"
"Terminator 3: The Redemption","PS2","Shooter","Atari","Paradigm Entertainme","T","0.17","2004","68","29","8","11"
"Battlefield 2142","PC","Shooter","Electronic Arts","EA DICE","T","0.03","2006","80","48","6.8","326"
"Fight Night Round 3","PSP","Fighting","Electronic Arts","EA Chicago","T","0.52","2006","74","22","8.1","22"
"BioShock 2","PS3","Shooter","Take-Two Interactive","2K Marin","M","1.54","2010","88","62","8.2","492"
"Napoleon: Total War","PC","Strategy","Sega","Creative Assembly","T","0.66","2010","81","56","7.9","515"
"Van Helsing","GBA","Action","Activision","Saffire","T","0.1","2004","33","11","6.3","6"
"Red Orchestra 2: Heroes of Stalingrad","PC","Shooter","Tripwire Interactive","Tripwire Interactive","M","0.14","2011","76","49","7.3","729"
"Brothers in Arms: Double Time","Wii","Shooter","Ubisoft","Gearbox Software","M","0.13","2008","45","13","6.6","17"
"Rugby World Cup 2011","X360","Sports","505 Games","HB Studios Multimedi","E","0.28","2011","55","14","3.9","13"
"Conflict: Denied Ops","X360","Shooter","Eidos Interactive","Pivotal Games","M","0.19","2008","52","35","4.9","22"
"The Orange Box","X360","Shooter","Electronic Arts","Valve Software","M","1.82","2007","96","54","8.9","797"
"Castlevania: Lords of Shadow","PS3","Action","Konami Digital Entertainmen","Mercury Steam","M","1.1","2010","85","62","8","468"
"NBA Live 09","PS3","Sports","Electronic Arts","EA Canada","E","0.52","2008","75","32","7.8","15"
"Final Fantasy V Advance","GBA","Role-Playing","Nintendo","TOSE","E","0.26","2006","83","25","7.2","75"
"NBA 2K7","XB","Sports","Take-Two Interactive","Kush Games, Visual C","E","0.03","2006","83","8","8.6","5"
"Max Payne","XB","Shooter","Take-Two Interactive","neo Software","M","1.22","2001","89","24","8.3","61"
"FIFA World Cup Germany 2006","XB","Sports","Electronic Arts","EA Canada","E","0.24","2006","77","22","8.4","9"
"Death By Degrees","PS2","Action","Sony Computer Entertainment","Namco","M","0.1","2005","51","45","6.2","24"
"F.E.A.R.","PS3","Shooter","Vivendi Games","Day 1 Studios","M","0.54","2007","72","31","7.4","64"
"Tony Hawk's Project 8","PS3","Sports","Activision","Neversoft Entertainm","T","0.63","2006","76","43","7.2","14"
"Spyborgs","Wii","Action","Capcom","Bionic Games","T","0.11","2009","66","30","6.3","6"
"Miami Law","DS","Adventure","Konami Digital Entertainmen","Hudson Entertainment","T","0.1","2009","56","14","8.8","4"
"Sonic Adventure 2 Battle","GC","Platform","Sega","Sonic Team","E","2.56","2001","73","28","8.3","179"
"MechAssault: Phantom War","DS","Simulation","Majesco Entertainment","Backbone Entertainme","T","0.03","2006","66","16","4.5","4"
"Guitar Hero III: Legends of Rock","PS2","Misc","Activision","Neversoft Entertainm","T","4.98","2007","82","24","8.2","46"
"NCAA Final Four 2003","PS2","Sports","Sony Computer Entertainment","989 Sports","E","0.19","2002","57","16","6","4"
"Tokyo Jungle","PS3","Action","Sony Computer Entertainment","Crispy's","T","0.26","2012","74","60","8.4","89"
"MotionSports","X360","Sports","Ubisoft","Ubisoft Milan","T","0.69","2010","40","30","4.4","9"
"Drakengard","PS2","Role-Playing","Square Enix","Cavia Inc.","M","0.65","2003","63","55","9.1","88"
"BloodRayne","XB","Shooter","Universal Interactive","Terminal Reality","M","0.21","2002","76","20","7.5","6"
"The Guy Game","XB","Misc","Gathering of Developers","Top Heavy Studios","M","0.07","2004","47","20","5.4","7"
"Medal of Honor: Underground","GBA","Shooter","Zoo Digital Publishing","Rebellion","T","0.08","2002","46","5","1.7","11"
"Majin and the Forsaken Kingdom","X360","Adventure","Namco Bandai Games","Game Republic","T","0.19","2010","74","46","8.1","24"
"X-Men: Destiny","PS3","Action","Activision","Silicon Knights","T","0.24","2011","50","33","4.8","37"
"Mafia","PS2","Action","Illusion Softworks","Illusion Softworks","M","0.7","2004","65","30","7.6","62"
"Dragon Ball: Raging Blast","X360","Fighting","Namco Bandai Games","Spike","T","0.51","2009","56","29","7.5","33"
"Dark Sector","PS3","Shooter","D3Publisher","Digital Extremes","M","0.47","2008","72","47","7.6","70"
"NCAA Football 2003","XB","Sports","Electronic Arts","EA Sports","E","0.52","2002","90","14","8.2","15"
"Cloudy With a Chance of Meatballs","PS3","Platform","Ubisoft","Ubisoft Shanghai","E","0.1","2009","66","9","6","5"
"Metal Slug XX","PSP","Shooter","DHM Interactive","SNK Playmore","T","0.04","2009","67","22","6.1","9"
"Stella Deus: The Gate of Eternity","PS2","Strategy","505 Games","Pinegrow","T","0.08","2004","75","31","8","9"
"Tony Hawk's Project 8","X360","Sports","Activision","Neversoft Entertainm","T","0.49","2006","81","65","7.6","38"
"Samba De Amigo","Wii","Misc","Sega","Gearbox Software","E","0.88","2008","68","43","8.1","40"
"NCAA Football 06","XB","Sports","Electronic Arts","EA Sports","E","0.97","2005","87","38","8.3","27"
"TRON: Evolution","X360","Action","Disney Interactive Studios","Propaganda Games","T","0.31","2010","58","51","6","41"
"Hot Wheels Velocity X","GC","Racing","THQ","Beyond Games","E","0.11","2002","55","4","6.4","5"
"Wii Fit Plus","Wii","Sports","Nintendo","Nintendo","E","21.79","2009","80","33","7.4","52"
"Tiger Woods PGA Tour 06","XB","Sports","Electronic Arts","EA Sports","E","0.48","2005","81","30","5.1","11"
"Naruto: Clash of Ninja","GC","Fighting","Tomy Corporation","Tomy Corporation","T","0.68","2003","72","21","8.1","20"
"Wario World","GC","Platform","Nintendo","Treasure","E","0.44","2003","71","30","7.2","44"
"Grand Theft Auto: Chinatown Wars","DS","Action","Take-Two Interactive","Rockstar Leeds","M","1.32","2009","93","85","8.3","280"
"ATV Offroad Fury: Blazin' Trails","PSP","Racing","SouthPeak Games","Climax Group","E","0.57","2005","63","32","7.8","16"
"Crash: Twinsanity","XB","Platform","Vivendi Games","Traveller's Tales","E","0.15","2004","66","30","8.7","29"
"Fallout: New Vegas","PC","Role-Playing","Bethesda Softworks","Obsidian Entertainme","M","1.17","2010","84","39","8.6","2754"
"Resistance: Retribution","PSP","Shooter","Sony Computer Entertainment","Sony Bend","M","0.89","2009","81","67","8.1","84"
